protein1	protein2	neighborhood	coexpression	experimental	combined
ARF5	CDC5L	0.0	0.062	0.98	0.9796016227365794
ARF5	ARF1	0.0	0.098	0.862	0.864653069923158
FKBP4	S100A1	0.0	0.0	0.858	0.8455986369186707
FKBP4	MTOR	0.0	0.069	0.846	0.8441046406308274
CFTR	YWHAG	0.0	0.0	0.857	0.8445113033758445
CFTR	FLNA	0.0	0.061	0.96	0.9591597521314454
CFTR	YWHAZ	0.0	0.0	0.857	0.8445113033758445
CYP51A1	IDI1	0.042	0.891	0.0	0.886458456790996
CYP51A1	MSMO1	0.0	0.938	0.692	0.9792362786661897
CYP51A1	SC5D	0.0	0.753	0.692	0.9172800133959492
CYP51A1	HMGCS1	0.049	0.93	0.079	0.9333345257757854
CYP51A1	LSS	0.0	0.826	0.692	0.9417276207728549
CYP51A1	FDFT1	0.05	0.816	0.692	0.9414597017879025
CYP51A1	SQLE	0.0	0.928	0.182	0.9359604036617045
CYP51A1	HMGCR	0.0	0.863	0.0	0.851035304632802
CYP51A1	NSDHL	0.0	0.665	0.692	0.8878089250511861
PDK4	PDK3	0.0	0.0	0.827	0.8118912970910566
PDK4	PDK2	0.0	0.0	0.847	0.8336379679475818
PDK4	PDK1	0.0	0.0	0.826	0.8108039635482303
USH1C	CDH23	0.0	0.0	0.974	0.9717293278865171
USH1C	USH1G	0.0	0.0	0.943	0.938021988058903
RALA	EXOC2	0.0	0.0	0.963	0.9597686589154283
RALA	NDUFS6	0.0	0.121	0.795	0.8040679322504217
RALA	MSLN	0.0	0.0	0.817	0.8010179616627938
RALA	MYH10	0.0	0.051	0.844	0.8390267929858287
BAIAP2L1	WASL	0.0	0.0	0.91	0.9021399811456364
RPAP3	PPP1CA	0.0	0.077	0.823	0.8223612317749305
RPAP3	RUVBL2	0.0	0.11	0.885	0.8887114118917321
RPAP3	UXT	0.0	0.081	0.823	0.8231310639232515
RPAP3	RUVBL1	0.0	0.13	0.92	0.9243215854192921
RPAP3	ESF1	0.0	0.823	0.0	0.8075419629197514
RPAP3	PIH1D1	0.0	0.095	0.854	0.856330618986366
TRAPPC6A	TRAPPC2	0.0	0.064	0.878	0.8758352080775835
TRAPPC6A	TRAPPC1	0.0	0.077	0.845	0.8444406266955606
TRAPPC6A	TRAPPC12	0.0	0.0	0.855	0.842336636290192
TRAPPC6A	TRAPPC5	0.0	0.064	0.887	0.884994905842352
CRY1	CSNK1E	0.0	0.063	0.929	0.9276629613963973
CRY1	PER3	0.0	0.063	0.859	0.8563447543224226
CRY1	PER2	0.0	0.188	0.954	0.9593859175083533
CRY1	PPP2R1B	0.0	0.063	0.832	0.828836303022461
CRY1	CLOCK	0.0	0.062	0.958	0.9571634077468164
CRY1	ARNTL	0.0	0.086	0.903	0.9035991827601092
CRY1	CRY2	0.0	0.065	0.965	0.9644170098110105
CRY1	CSNK1D	0.0	0.063	0.842	0.8390246183187431
CRY1	PER1	0.0	0.081	0.966	0.9660251761208505
CRY1	BHLHE41	0.0	0.145	0.881	0.8893692486851419
CD74	HLA-DRB5	0.0	0.74	0.352	0.8168060447046311
CD74	HLA-DQB2	0.0	0.804	0.41	0.874260749107571
CD74	HLA-DPA1	0.0	0.825	0.47	0.8991498139028642
CD74	CTSL	0.0	0.061	0.886	0.8836052935746199
CD74	HLA-DRA	0.0	0.924	0.889	0.9908272542327177
CD74	COPG2	0.0	0.0	0.943	0.938021988058903
CD74	HLA-DRB1	0.0	0.854	0.864	0.9784099051736417
CD74	HLA-DQA1	0.0	0.598	0.701	0.8693046828193688
CD74	HLA-DQB1	0.0	0.706	0.72	0.910490702754542
CPA1	CELA3A	0.0	0.765	0.671	0.9159328071363876
CPA1	CTRC	0.0	0.428	0.731	0.8326941624324087
CPA1	CELA3B	0.0	0.839	0.671	0.9424050295700357
CPA1	CTRL	0.0	0.912	0.157	0.9193372484589766
CPA1	CTRB1	0.0	0.795	0.157	0.8120924537964794
CPA1	CPB1	0.0	0.827	0.0	0.8118912970910566
CPA1	CEL	0.0	0.872	0.0	0.8608213065182383
RANBP9	GID8	0.0	0.069	0.805	0.8026000319676061
RANBP9	CDC5L	0.0	0.103	0.98	0.9804932362416968
RANBP9	RMND5A	0.0	0.168	0.873	0.8851079885308057
RANBP9	DCTN1	0.0	0.076	0.81	0.8091077232214213
CD4	HLA-DRA	0.0	0.201	0.8	0.8262440998563633
CD4	HLA-DRB1	0.0	0.16	0.8	0.8173279648051879
CD4	LCK	0.0	0.111	0.952	0.9536013030605177
CD4	CD5	0.0	0.197	0.861	0.878635091950361
PPP5C	PSPC1	0.0	0.0	0.847	0.8336379679475818
PPP5C	TATDN1	0.059	0.061	0.806	0.8136112347650979
UBR7	THOC5	0.0	0.059	0.818	0.8137810827884885
ERCC1	RAD1	0.0	0.062	0.993	0.9928605679578028
ERCC1	SLX4	0.0	0.0	0.846	0.8325506344047555
ERCC1	XPA	0.0	0.062	0.885	0.8827093307353311
ERCC1	MUS81	0.0	0.091	0.906	0.9070916980996672
ERCC1	ERCC4	0.0	0.064	0.998	0.9979645116078293
HEBP1	UBE2L3	0.0	0.0	0.822	0.8064546293769251
COX15	CYC1	0.0	0.223	0.81	0.8394769490725588
COX15	NDUFS4	0.0	0.101	0.816	0.8201376346798509
COX15	NDUFA12	0.0	0.086	0.811	0.8121674798109344
COX15	SURF1	0.295	0.216	0.834	0.9002354946987052
COX15	NDUFS8	0.0	0.087	0.82	0.8213076055719319
RGPD5	RAN	0.0	0.245	0.818	0.8505894978802432
RALBP1	REPS2	0.0	0.0	0.913	0.9054019817741151
RALBP1	TNF	0.0	0.0	0.86	0.8477733040043232
RALBP1	CASP8	0.0	0.0	0.86	0.8477733040043232
RALBP1	AAK1	0.0	0.0	0.95	0.9456333228586868
RALBP1	BMP2K	0.0	0.0	0.914	0.9064893153169414
